,progrnumber,stoppointid,lineid,routeid
5643,1,226,1,1_37
5644,2,228,1,1_37
5645,3,229,1,1_37
5646,4,227,1,1_37
5647,5,230,1,1_37
5648,6,231,1,1_37
5649,7,1641,1,1_37
5650,8,1642,1,1_37
5651,9,213,1,1_37
5652,10,214,1,1_37
5653,11,4432,1,1_37
5654,12,119,1,1_37
5655,13,44,1,1_37
5656,14,7603,1,1_37
5657,15,45,1,1_37
5658,16,46,1,1_37
5659,17,47,1,1_37
5660,18,48,1,1_37
5661,19,49,1,1_37
5662,20,51,1,1_37
5663,21,52,1,1_37
5664,22,265,1,1_37
5665,23,271,1,1_37
5666,24,340,1,1_37
5667,25,350,1,1_37
5668,26,351,1,1_37
5669,27,352,1,1_37
5670,28,353,1,1_37
5671,29,354,1,1_37
5672,30,355,1,1_37
5673,31,356,1,1_37
5674,32,357,1,1_37
5675,33,390,1,1_37
5676,34,372,1,1_37
5677,35,373,1,1_37
5678,36,374,1,1_37
5679,37,375,1,1_37
5680,38,2804,1,1_37
5681,39,376,1,1_37
5682,40,377,1,1_37
5683,41,378,1,1_37
5684,42,380,1,1_37
5600,1,381,1,1_40
5601,2,382,1,1_40
5602,3,4451,1,1_40
5603,4,383,1,1_40
5604,5,384,1,1_40
5605,6,385,1,1_40
5606,7,387,1,1_40
5607,8,388,1,1_40
5608,9,389,1,1_40
5609,10,393,1,1_40
5610,11,371,1,1_40
5611,12,391,1,1_40
5612,13,392,1,1_40
5613,14,395,1,1_40
5614,15,396,1,1_40
5615,16,397,1,1_40
5616,17,398,1,1_40
5617,18,399,1,1_40
5618,19,400,1,1_40
5619,20,319,1,1_40
5620,21,278,1,1_40
5621,22,7615,1,1_40
5622,23,10,1,1_40
5623,24,12,1,1_40
5624,25,14,1,1_40
5625,26,15,1,1_40
5626,27,17,1,1_40
5627,28,18,1,1_40
5628,29,19,1,1_40
5629,30,21,1,1_40
5630,31,7602,1,1_40
5631,32,85,1,1_40
5632,33,203,1,1_40
5633,34,204,1,1_40
5634,35,205,1,1_40
5635,36,1620,1,1_40
5636,37,220,1,1_40
5637,38,221,1,1_40
5638,39,222,1,1_40
5639,40,223,1,1_40
5640,41,224,1,1_40
5641,42,225,1,1_40
5642,43,226,1,1_40
5746,1,4381,102,102_8
5747,2,935,102,102_8
5748,3,936,102,102_8
5749,4,913,102,102_8
5750,5,914,102,102_8
5751,6,938,102,102_8
5752,7,940,102,102_8
5753,8,941,102,102_8
5754,9,942,102,102_8
5755,10,943,102,102_8
5756,11,4503,102,102_8
5757,12,3599,102,102_8
5758,13,3610,102,102_8
5759,14,3611,102,102_8
5760,15,6135,102,102_8
5761,16,3612,102,102_8
5762,17,3613,102,102_8
5763,18,3615,102,102_8
5764,19,3616,102,102_8
5765,20,3618,102,102_8
5766,21,3619,102,102_8
5767,22,3620,102,102_8
5768,23,3622,102,102_8
5769,24,3623,102,102_8
5770,25,4387,102,102_8
5771,26,3634,102,102_8
5772,27,3635,102,102_8
5773,28,3636,102,102_8
5774,29,905,102,102_8
5775,30,4331,102,102_8
5776,31,3641,102,102_8
5777,32,4339,102,102_8
5778,33,6010,102,102_8
5779,34,3656,102,102_8
5780,35,3653,102,102_8
5781,36,1039,102,102_8
5782,37,1040,102,102_8
5783,38,6054,102,102_8
5784,39,4330,102,102_8
5785,40,3691,102,102_8
5786,41,3572,102,102_8
5787,42,3701,102,102_8
5788,43,3702,102,102_8
5789,44,3088,102,102_8
5790,45,3704,102,102_8
5791,46,3705,102,102_8
5792,47,733,102,102_8
5793,48,6015,102,102_8
5794,49,788,102,102_8
5795,50,815,102,102_8
5796,51,816,102,102_8
5797,52,3663,102,102_8
5798,53,7348,102,102_8
5799,1,7348,102,102_9
5800,2,3669,102,102_9
5801,3,3671,102,102_9
